participant_id,monolingual,age,sex,group,two_langs
5e8601d90126b207e8c7a2aa,I was raised with my native language only,44,Female,1,"no, only English or Spanish"
672193644fb3e4b721e16394,I was raised with my native language only,35,Male,1,"no, only English or Spanish"
663a41265f6d1a3d681574c2,I was raised with my native language only,34,Female,1,"yes, I am fluent in another language"
63e54336ed7afb1425f7888f,I was raised with my native language only,24,Male,1,"no, only English or Spanish"
65edebf1c2c09681c2b91185,I was raised with my native language only,46,Male,1,"no, only English or Spanish"
66dacbf67ea6c959464494d2,I was raised with my native language only,49,Female,1,"no, only English or Spanish"
5f78a9660c01564630e2c2c8,I was raised with my native language only,35,Female,1,"no, only English or Spanish"
67a50324c29ef2078a8db77f,I was raised with my native language only,32,Female,1,"no, only English or Spanish"
61075af85969d97b256603cc,I was raised with my native language only,26,Female,1,"no, only English or Spanish"
5f91a6bf59acc003a749718a,I was raised with my native language only,35,Female,1,"no, only English or Spanish"
6649f870ed4a6b0016a6086a,I was raised with my native language only,29,Male,1,"no, only English or Spanish"
66940332d70583ebe9a33c05,I was raised with my native language only,19,Male,1,"no, only English or Spanish"
67c9e12970245699c2237d09,I was raised with my native language only,22,Female,1,"no, only English or Spanish"
6735b2a6112cf17b7b8df8d1,I was raised with my native language only,20,Female,1,"no, only English or Spanish"
615e1782e969d4939045c54f,I was raised with my native language only,34,Male,1,"no, only English or Spanish"
6664dfc807e75330a8b54a8b,I was raised with my native language only,32,Male,1,"yes, I am fluent in another language"
6693c333b5a3205963d6eab1,I was raised with my native language only,48,Male,1,"no, only English or Spanish"
63d4dbdd4adb3ccef611be9c,I was raised with my native language only,41,Male,1,"no, only English or Spanish"
672ce4b6444bb28ed1573e5a,I was raised with my native language only,41,Male,1,"no, only English or Spanish"
663765ad2bdf17e0c60a3637,I was raised with my native language only,65,Male,1,"no, only English or Spanish"
63d3f99eac52371a49e65825,I was raised with my native language only,28,Female,1,"no, only English or Spanish"
55b8d0bffdf99b0f2859fe73,I was raised with my native language only,44,Male,1,"no, only English or Spanish"
67d5f6c42a9c97450f6bbcd5,I was raised with my native language only,21,Male,1,"no, only English or Spanish"
67acfcf471895bd3ece873e5,I was raised with my native language only,38,Male,1,"no, only English or Spanish"
67c9e8e5ec86b1f821a8d5c7,I was raised with my native language only,40,Female,1,"no, only English or Spanish"
67506c9140f7ec4223d6c7be,I was raised with my native language only,34,Female,1,"no, only English or Spanish"
5e51c83155087a204d8e7f1f,I was raised with my native language only,78,Female,1,"no, only English or Spanish"
663b9c6e798074f8e71665c5,I was raised with my native language only,69,Female,1,"no, only English or Spanish"
6516d5862e627be30bea296f,I was raised with my native language only,54,Male,1,"no, only English or Spanish"
663fac4f53bae2b144be83f2,I was raised with my native language only,51,Male,1,"no, only English or Spanish"
55885869fdf99b4020ba0b64,I was raised with my native language only,30,Female,1,"no, only English or Spanish"
65ddfaeab5c421556410b938,I was raised with my native language only,42,Male,1,"no, only English or Spanish"
5ddc898a41fb3fbef8f00b91,I was raised with my native language only,23,Female,1,"no, only English or Spanish"
5c2fcd716ea6880001dc8e3d,I was raised with my native language only,61,Female,1,"no, only English or Spanish"
6606ce9c3523446ed5777300,I was raised with my native language only,58,Female,1,"no, only English or Spanish"
66e32aaad05615cfd9fcbe48,I was raised with my native language only,53,Male,1,"no, only English or Spanish"
5c66ed5b2d31c20001b09d7f,I was raised with my native language only,32,Male,1,"no, only English or Spanish"
651d623cbdcb675cb801bc79,I was raised with my native language only,29,Female,1,"no, only English or Spanish"
675c98d1c5cd2106ffd74570,I was raised with my native language only,23,Male,1,"no, only English or Spanish"
66c7719c71a1c4f4c2e712cd,I was raised with my native language only,54,Female,1,"no, only English or Spanish"
66828964434e3570607d323d,I was raised with my native language only,23,Female,1,click here to respond
6736ae15788d71c1c21d0398,I was raised with my native language only,32,Female,1,"no, only English or Spanish"
66b3c29a1b992bc51dbc2fd9,I was raised with my native language only,48,Female,1,"no, only English or Spanish"
5ec79b5033c65502ce2acade,I was raised with my native language only,25,Male,1,"no, only English or Spanish"
5e8bbb3680cbf20986c677e1,I was raised with my native language only,27,Male,1,"no, only English or Spanish"
663e4706e326d67a17612551,I was raised with my native language only,32,Female,1,"yes, I am fluent in another language"
5aecad0e75deca000162634c,I was raised with my native language only,66,Female,1,"no, only English or Spanish"
5f8f0ae15fe9e60fbbbaead9,I was raised with my native language only,30,Male,0,"no, only English or Spanish"
6150e088de5e18243a46222c,I was raised with my native language only,28,Female,1,"no, only English or Spanish"
671165ce01cd9c2699b90dc1,I was raised with my native language only,34,Female,1,"no, only English or Spanish"
5fe2bc6c9177396d90ae7f54,I was raised with my native language only,59,Female,1,"no, only English or Spanish"
610081ebf9f870b4213e06cb,I was raised with my native language only,28,Male,1,"no, only English or Spanish"
66d06fd15b37d17345069c4c,I was raised with my native language only,45,Male,1,"no, only English or Spanish"
